Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-09-07,23.99,24.02,23.4475,23.53,14012900.0,0.0,1.0,9.438055596196048,9.449858083394293,9.224627286027797,9.257084125822969,14012900.0
2010-09-08,24.01,24.58,23.91,24.57,23301500.0,0.0,1.0,9.445923920994879,9.67017117776152,9.40658229700073,9.666237015362105,23301500.0
2010-09-09,24.62,24.63,23.935,24.3,14534600.0,0.0,1.0,9.685907827359179,9.689841989758593,9.416417702999267,9.560014630577907,14534600.0
2010-09-10,24.33,24.55,23.96,24.1,10740300.0,0.0,1.0,9.571817117776149,9.658368690563275,9.426253108997804,9.48133138258961,10740300.0
2010-09-13,24.0,24.47,23.99,24.3,11062200.0,0.0,1.0,9.441989758595463,9.626895391367956,9.438055596196048,9.560014630577907,11062200.0
2010-09-14,24.16,24.385,24.04,24.25,14937800.0,0.0,1.0,9.5049363569861,9.593455010972932,9.457726408193121,9.540343818580832,14937800.0
2010-09-15,24.04,24.28,23.92,24.19,10127000.0,0.0,1.0,9.457726408193121,9.552146305779077,9.410516459400146,9.516738844184344,10127000.0
2010-09-16,24.22,24.3,23.65,23.9,12039500.0,0.0,1.0,9.528541331382588,9.560014630577907,9.304294074615946,9.402648134601314,12039500.0
2010-09-17,24.09,24.37,23.99,24.22,17358400.0,0.0,1.0,9.477397220190197,9.58755376737381,9.438055596196048,9.528541331382588,17358400.0
2010-09-20,24.27,24.72,24.22,24.65,9993400.0,0.0,1.0,9.548212143379661,9.725249451353326,9.528541331382588,9.697710314557423,9993400.0
2010-09-21,24.68,24.89,24.55,24.74,11026500.0,0.0,1.0,9.709512801755668,9.792130212143379,9.658368690563275,9.733117776152156,11026500.0
